species,substance,delta
E. coli,AMK,-0.3345
E. coli,AMS,-9.0826
E. coli,AZT,-0.2465
E. coli,CAZ,-0.2457
E. coli,CIP,7.7288
E. coli,COL,-0.6162
E. coli,CTX,-0.1654
E. coli,CXM,7.7979
E. coli,FOS,7.713
E. coli,GEN,-0.3864
E. coli,IMP,-0.0537
E. coli,LEV,7.6424
E. coli,MER,-0.0201
E. coli,MOX,7.3137
E. coli,PIP,6.3639
E. coli,PIT,0.1106
E. coli,SXT,29.8728
E. coli,TOB,0.5387
P. aeruginosa,AMK,2.4291
P. aeruginosa,AZT,-3.1237
P. aeruginosa,CAZ,-2.1454
P. aeruginosa,CIP,-0.7461
P. aeruginosa,COL,0.3214
P. aeruginosa,IMP,-0.142
P. aeruginosa,LEV,-0.5979
P. aeruginosa,MER,0.3497
P. aeruginosa,PIP,-39.9514
P. aeruginosa,PIT,-2.7882
P. aeruginosa,TOB,0.0089
P. aeruginosa,AMK,0.7603
P. aeruginosa,AZT,-0.2343
P. aeruginosa,CAZ,0.4716
P. aeruginosa,CIP,0.0494
P. aeruginosa,COL,0.3867
P. aeruginosa,IMP,0.1018
P. aeruginosa,LEV,0.3836
P. aeruginosa,MER,-0.0501
P. aeruginosa,PIP,-14.7577
P. aeruginosa,PIT,-0.0468
P. aeruginosa,TOB,0.1505
Ent. faecalis,AMS,0.196
Ent. faecalis,IMP,0.5122
Ent. faecalis,LIZ,0.0692
Ent. faecalis,PIP,27.6945
Ent. faecalis,PIT,5.6199
Ent. faecalis,SXT,15.8022
Ent. faecalis,TPL,-0.1422
Ent. faecalis,VAN,-0.0292
E. coli,AMK,-0.6105
E. coli,AMS,-45.2735
E. coli,AZT,-2.1283
E. coli,CAZ,-1.5349
E. coli,CIP,-1.5129
E. coli,COL,-0.5756
E. coli,CTX,-2.0704
E. coli,CXM,-26.6765
E. coli,FOS,-16.7066
E. coli,GEN,-0.8895
E. coli,IMP,-0.2769
E. coli,LEV,-1.7548
E. coli,MER,-0.0599
E. coli,MOX,-3.6126
E. coli,PIP,-26.7334
E. coli,PIT,-3.1561
E. coli,SXT,-13.4416
E. coli,TOB,-0.0633
P. aeruginosa,AMK,0.6106
P. aeruginosa,AZT,28.7782
P. aeruginosa,CAZ,1.8819
P. aeruginosa,CIP,-0.0068
P. aeruginosa,COL,1.3378
P. aeruginosa,IMP,1.5173
P. aeruginosa,LEV,0.644
P. aeruginosa,MER,0.1251
P. aeruginosa,PIP,-10.0097
P. aeruginosa,PIT,3.219
P. aeruginosa,TOB,0.582
P. aeruginosa,AMK,0.633
P. aeruginosa,AZT,59.7546
P. aeruginosa,CAZ,61.37
P. aeruginosa,CIP,0.3005
P. aeruginosa,COL,0.3755
P. aeruginosa,IMP,15.4993
P. aeruginosa,LEV,1.7153
P. aeruginosa,MER,15.8693
P. aeruginosa,PIP,99.3916
P. aeruginosa,PIT,122.6272
