-,Achromobacter denitrificans
-,Achromobacter xylosoxidans
-,Acinetobacter baumannii
-,Acinetobacter baumannii (Carbapenemase)
-,Acinetobacter baumannii (MBL)
-,Acinetobacter bereziniae (Carbapenemasen)
-,Acinetobacter calcoaceticus
-,Acinetobacter haemolyticus
-,Acinetobacter haemolyticus (Carbapenemasen)
-,Acinetobacter johnsonii
-,Acinetobacter johnsonii (Carbapenemasen)
-,Acinetobacter junii
-,Acinetobacter junii (Carbapenemase)
-,Acinetobacter lwoffi
-,Acinetobacter lwoffii
-,Acinetobacter lwoffii (Carbapenemase)
-,Acinetobacter nosocomialis
-,Acinetobacter pittii
-,Acinetobacter radioresistens
-,Acinetobacter ursingii
+,Aerococcus viridans
-,Aeromonas caviae
-,Aeromonas hydrophila
-,Aeromonas media
-,Aeromonas punctata
-,Aeromonas salmonicida
-,Aeromonas salmonicida (MBL)
-,Aeromonas sobria
-,Aeromonas sobria (Carbapenemase)
-,Aeromonas veronii
-,Alcaligenes faecalis
-,Alcaligenes faecalis (Carbapenemase)
+,Arthrobacter cumminsii
-,Bacillus altitudinis
-,Bacillus amyloliquefaciens
-,Bacillus cereus
-,Bacillus circulans
-,Bacillus clausii
-,Bacillus coagulans
-,Bacillus drentensis
-,Bacillus firmus
-,Bacillus fusiformis
-,Bacillus horneckiae
-,Bacillus idriensis
-,Bacillus lentus
-,Bacillus licheniformis
-,Bacillus megaterium
-,Bacillus mycoides
-,Bacillus pumilus
-,Bacillus simplex
-,Bacillus siralis
-,Bacillus sphaericus
-,Bacillus subtilis
-,Bacillus thermoamylovorans
-,Bacillus xiapuensis
-,Bacteroides fragilis
-,Bergeyella zoohelcum
-,Bordetella bronchiseptica
-,Bordetella parapertussis
-,Bordetella trematum
+,Brevibacillus spp
+,Brevibacterium luteolum
-,Brevundimonas diminuta
-,Brevundimonas diminuta (Carbapenemase)
-,Brevundiomonas vesicularis
-,Brucella melitensis
-,Burkholderia cenocepacia
-,Burkholderia cepacia
-,Burkholderia cepacia (Komplex)
-,Burkholderia gladioli
-,Burkholderia stabilis
-,Burkholderia vietnamiensis
-,Buttiauxella agrestis
-,Cedecea davisiae
-,Cedecea lapagei
+,Cellulosimicrobium cellulans
-,Chryseobacterium formosense
-,Chryseobacterium gleum
-,Chryseobacterium indologenes
-,Chryseomonas indologenes
-,Citrobacter amalonaticus
-,Citrobacter amalonaticus (ESBL)
-,Citrobacter braakii
-,Citrobacter braakii (ESBL)
-,Citrobacter farmeri
-,Citrobacter farmeri (ESBL)
-,Citrobacter freundii
-,Citrobacter freundii (Carbapenemase)
-,Citrobacter freundii (ESBL)
-,Citrobacter koseri
-,Citrobacter koseri (ESBL)
-,Citrobacter sedlakii
-,Citrobacter werkmanii
-,Citrobacter werkmanii (Carbapenemase)
-,Citrobacter werkmanii (ESBL)
-,Citrobacter youngae
+,Clostridium perfringens
+,Clostridium tertium
-,Comamonas sediminis
-,Comamonas testosteroni
-,Comamonas testosteroni (Carbapenemase)
+,Corynebacterium aurimucosum
+,Corynebacterium macginleyi
+,Corynebacterium simulans
+,Corynebacterium striatum
+,Corynebacterium suicordis
-,Cronobacter malonaticus
-,Cupriavidus gilardii
-,Delftia acidovorans
+,Dermabacter hominis
+,Dermacoccus barathri
+,Dermacoccus nishinomiyaensis
+,Dietzia cinnamea
-,Edwardsiella tarda
+,Eggerthella lenta
-,Elizabethkingia anopheles
-,Elizabethkingia anophelis
-,Elizabethkingia meningoseptica
-,Elizabethkingia meningosepticum
-,Empedobacter brevis
-,Enterobacter aerogenes
-,Enterobacter aerogenes (Carbapenemasen)
